Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Label
192.168.10.9-192.168.10.3-123-123-17,192.168.10.9,123,192.168.10.3,123,17,03/07/2017 09:01:07.008,64318195,4,4,192,192,5.970316798,0.1243816,BENIGN
192.168.10.3-192.168.10.1-62055-53-17,192.168.10.3,62055,192.168.10.1,53,17,03/07/2017 09:01:09.071,310138,1,1,41,143,593.2842799,6.448742173,BENIGN
192.168.10.25-192.168.10.3-49155-389-6,192.168.10.25,49155,192.168.10.3,389,6,03/07/2017 09:01:11.011,41092854,380,242,52116,248334,7311.490217,15.13645171,BENIGN
192.168.10.8-224.0.0.22-0-0-0,192.168.10.8,0,224.0.0.22,0,0,03/07/2017 09:01:11.042,35340761,7,0,0,0,0.0,0.19807157,BENIGN
192.168.10.25-192.168.10.3-49157-3268-6,192.168.10.25,49157,192.168.10.3,3268,6,03/07/2017 09:01:12.012,40573678,108,55,13988,13706,682.5607479,4.017382895,BENIGN
192.168.10.3-192.168.10.1-60687-53-17,192.168.10.3,60687,192.168.10.1,53,17,03/07/2017 09:01:13.059,359723,1,1,47,123,472.5858508,5.559833539,BENIGN
192.168.10.3-192.168.10.255-137-137-17,192.168.10.3,137,192.168.10.255,137,17,03/07/2017 09:01:21.091,1520101,35,0,1750,0,1151.239293,23.02478585,BENIGN
192.168.10.14-134.170.115.55-49447-443-6,192.168.10.14,49447,134.170.115.55,443,6,03/07/2017 09:01:35.025,100217657,8,11,1225,4826,60.37858179,0.18958735,BENIGN
192.168.10.17-224.0.0.251-5353-5353-17,192.168.10.17,5353,224.0.0.251,5353,17,03/07/2017 09:01:38.016,87303666,264,0,31608,0,362.0466522,3.023927999,BENIGN
192.168.10.17-192.168.10.3-123-123-17,192.168.10.17,123,192.168.10.3,123,17,03/07/2017 09:01:40.017,85015294,14,14,672,672,15.80892022,0.329352505,BENIGN
192.168.10.17-192.168.10.255-138-138-17,192.168.10.17,138,192.168.10.255,138,17,03/07/2017 09:01:40.049,61467160,24,0,5640,0,91.75631345,0.390452398,BENIGN
192.168.10.17-192.168.10.3-51952-389-6,192.168.10.17,51952,192.168.10.3,389,6,03/07/2017 09:01:45.023,1314441,28,19,5114,8670,10486.58707,35.75664484,BENIGN
192.168.10.17-192.168.10.3-45344-3268-6,192.168.10.17,45344,192.168.10.3,3268,6,03/07/2017 09:01:46.022,54731,18,13,4112,6798,199338.5833,566.4066069,BENIGN
192.168.10.3-192.168.10.1-62076-53-17,192.168.10.3,62076,192.168.10.1,53,17,03/07/2017 09:01:46.068,83780,1,1,50,114,1957.507758,23.87204583,BENIGN
192.168.10.3-192.168.10.1-61742-53-17,192.168.10.3,61742,192.168.10.1,53,17,03/07/2017 09:01:46.074,60668,1,1,50,162,3494.428694,32.96630843,BENIGN
192.168.10.3-192.168.10.1-61642-53-17,192.168.10.3,61642,192.168.10.1,53,17,03/07/2017 09:01:46.075,23609,1,1,43,99,6014.655428,84.71345673,BENIGN
192.168.10.17-206.108.0.131-123-123-17,192.168.10.17,123,206.108.0.131,123,17,03/07/2017 09:01:48.044,110021390,10,10,480,480,8.725575999,0.181782833,BENIGN
192.168.10.17-144.217.164.10-123-123-17,192.168.10.17,123,144.217.164.10,123,17,03/07/2017 09:01:49.048,112016093,10,10,480,480,8.570197141,0.178545774,BENIGN
192.168.10.17-52.60.76.61-123-123-17,192.168.10.17,123,52.60.76.61,123,17,03/07/2017 09:01:50.047,112030169,10,10,480,480,8.569120341,0.17852334,BENIGN
192.168.10.17-144.217.163.175-123-123-17,192.168.10.17,123,144.217.163.175,123,17,03/07/2017 09:01:51.034,88016547,9,9,432,432,9.816336012,0.204507,BENIGN
192.168.10.17-206.108.0.133-123-123-17,192.168.10.17,123,206.108.0.133,123,17,03/07/2017 09:01:52.021,74022037,9,9,432,432,11.67219973,0.243170828,BENIGN
192.168.10.17-129.128.12.20-123-123-17,192.168.10.17,123,129.128.12.20,123,17,03/07/2017 09:01:53.018,69089591,8,8,384,384,11.11600154,0.231583365,BENIGN
192.168.10.17-99.224.25.39-123-123-17,192.168.10.17,123,99.224.25.39,123,17,03/07/2017 09:01:54.030,82057520,8,8,384,384,9.35928846,0.194985176,BENIGN
192.168.10.17-108.59.2.24-123-123-17,192.168.10.17,123,108.59.2.24,123,17,03/07/2017 09:01:55.019,67028350,7,7,336,336,10.02560857,0.208866845,BENIGN
192.168.10.17-198.206.133.14-123-123-17,192.168.10.17,123,198.206.133.14,123,17,03/07/2017 09:01:56.020,66037754,7,7,336,336,10.1759972,0.211999942,BENIGN
192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,3268,6,03/07/2017 09:01:58.014,113786535,36,18,7254,1296,75.14070096,0.474572848,BENIGN
192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,389,6,03/07/2017 09:01:58.015,113786494,36,18,7254,5688,113.7393336,0.474573019,BENIGN
192.168.10.17-208.81.1.244-123-123-17,192.168.10.17,123,208.81.1.244,123,17,03/07/2017 09:02:04.026,68042785,7,7,336,336,9.876138962,0.205752895,BENIGN
192.168.10.17-206.75.89.101-123-123-17,192.168.10.17,123,206.75.89.101,123,17,03/07/2017 09:02:04.027,69085962,7,7,336,336,9.727012269,0.202646089,BENIGN
192.168.10.17-91.189.89.198-123-123-17,192.168.10.17,123,91.189.89.198,123,17,03/07/2017 09:02:06.024,64094095,2,2,96,96,2.995595772,0.062408245,BENIGN
192.168.10.17-192.95.27.155-123-123-17,192.168.10.17,123,192.95.27.155,123,17,03/07/2017 09:02:06.028,69016085,7,7,336,336,9.736860617,0.202851263,BENIGN
192.168.10.17-171.66.97.126-123-123-17,192.168.10.17,123,171.66.97.126,123,17,03/07/2017 09:02:08.029,67083889,7,7,336,336,10.01730833,0.208693924,BENIGN
192.168.10.17-144.217.240.204-123-123-17,192.168.10.17,123,144.217.240.204,123,17,03/07/2017 09:02:11.033,66016163,7,7,336,336,10.17932533,0.212069278,BENIGN
192.168.10.5-65.152.202.163-49183-80-6,192.168.10.5,49183,65.152.202.163,80,6,03/07/2017 09:02:14.040,148785,4,3,286,232,3481.533757,47.04775347,BENIGN
192.168.10.17-198.100.147.178-123-123-17,192.168.10.17,123,198.100.147.178,123,17,03/07/2017 09:02:15.036,67016314,7,7,336,336,10.02740915,0.208904357,BENIGN
192.168.10.17-45.79.109.111-123-123-17,192.168.10.17,123,45.79.109.111,123,17,03/07/2017 09:02:15.037,67080806,7,7,336,336,10.01776872,0.208703515,BENIGN
192.168.10.17-91.189.89.199-123-123-17,192.168.10.17,123,91.189.89.199,123,17,03/07/2017 09:02:17.032,64094152,2,2,96,96,2.995593108,0.06240819,BENIGN
192.168.10.17-91.189.91.157-123-123-17,192.168.10.17,123,91.189.91.157,123,17,03/07/2017 09:02:19.038,66036377,2,2,96,96,2.907488398,0.060572675,BENIGN
192.168.10.14-137.116.74.190-49448-443-6,192.168.10.14,49448,137.116.74.190,443,6,03/07/2017 09:02:23.035,374118,10,8,939,7046,21343.53332,48.11316216,BENIGN
192.168.10.5-23.15.4.18-49190-80-6,192.168.10.5,49190,23.15.4.18,80,6,03/07/2017 09:02:25.041,12285758,29,35,1663,52683,4423.495888,5.20928379,BENIGN
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03/07/2017 09:02:32.039,117895721,82,0,0,0,0.0,0.695529908,BENIGN
192.168.10.3-192.168.10.1-61738-53-17,192.168.10.3,61738,192.168.10.1,53,17,03/07/2017 09:02:32.079,125659,1,1,43,113,1241.455049,15.91609037,BENIGN
192.168.10.8-192.168.10.3-123-123-17,192.168.10.8,123,192.168.10.3,123,17,03/07/2017 09:02:36.045,65544022,6,6,288,288,8.787986798,0.183083058,BENIGN
192.168.10.9-72.21.91.29-1071-80-6,192.168.10.9,1071,72.21.91.29,80,6,03/07/2017 09:02:38.046,119671512,27,24,3926,7960,99.32188372,0.426166588,BENIGN
192.168.10.3-192.168.10.1-61411-53-17,192.168.10.3,61411,192.168.10.1,53,17,03/07/2017 09:02:38.097,23615,1,1,61,143,8638.577176,84.69193309,BENIGN
192.168.10.9-216.58.212.142-1077-443-6,192.168.10.9,1077,216.58.212.142,443,6,03/07/2017 09:02:39.067,118674874,38,70,20418,64222,713.2090993,0.910049418,BENIGN
192.168.10.3-192.168.10.1-62300-53-17,192.168.10.3,62300,192.168.10.1,53,17,03/07/2017 09:02:39.077,486872,1,1,57,217,562.7762533,4.107855864,BENIGN
192.168.10.9-172.217.11.46-1079-443-6,192.168.10.9,1079,172.217.11.46,443,6,03/07/2017 09:02:40.043,62871321,1161,1802,51413,3195519,51644.08745,47.12800611,BENIGN
192.168.10.3-192.168.10.1-61136-53-17,192.168.10.3,61136,192.168.10.1,53,17,03/07/2017 09:02:40.082,23788,1,1,63,123,7819.068438,84.07600471,BENIGN
192.168.10.3-192.168.10.1-62429-53-17,192.168.10.3,62429,192.168.10.1,53,17,03/07/2017 09:02:46.070,23325,1,1,51,136,8017.148982,85.7449089,BENIGN
192.168.10.25-17.253.14.125-123-123-17,192.168.10.25,123,17.253.14.125,123,17,03/07/2017 09:02:55.051,66021092,2,2,96,96,2.908161531,0.060586699,BENIGN
192.168.10.14-13.82.187.188-49450-443-6,192.168.10.14,49450,13.82.187.188,443,6,03/07/2017 09:02:58.053,104711617,98,81,108730,12828,1160.88361,1.709456936,BENIGN
192.168.10.14-64.4.54.254-49451-443-6,192.168.10.14,49451,64.4.54.254,443,6,03/07/2017 09:03:00.050,117025664,53,38,32568,9330,358.0240314,0.777607209,BENIGN
192.168.10.5-192.168.10.3-123-123-17,192.168.10.5,123,192.168.10.3,123,17,03/07/2017 09:03:03.054,64014742,4,4,192,192,5.998618256,0.124971214,BENIGN
192.168.10.5-192.168.10.3-49159-445-6,192.168.10.5,49159,192.168.10.3,445,6,03/07/2017 09:03:06.052,90003134,10,10,8,2,0.111107242,0.222214484,BENIGN
192.168.10.3-192.168.10.1-61148-53-17,192.168.10.3,61148,192.168.10.1,53,17,03/07/2017 09:03:07.076,92828,1,1,46,143,2036.023614,21.54522342,BENIGN
192.168.10.3-192.168.10.1-61477-53-17,192.168.10.3,61477,192.168.10.1,53,17,03/07/2017 09:03:08.073,233220,1,1,56,121,758.9400566,8.57559386,BENIGN
192.168.10.14-192.168.10.3-49414-445-6,192.168.10.14,49414,192.168.10.3,445,6,03/07/2017 09:03:15.055,90008934,10,10,8,2,0.111100083,0.222200165,BENIGN
192.168.10.9-192.168.10.3-123-123-17,192.168.10.9,123,192.168.10.3,123,17,03/07/2017 09:03:15.056,64006700,4,4,192,192,5.999371941,0.124986915,BENIGN
192.168.10.3-192.168.10.1-60646-53-17,192.168.10.3,60646,192.168.10.1,53,17,03/07/2017 09:03:18.058,303053,1,1,60,131,630.2527941,6.599505697,BENIGN
192.168.10.14-192.168.10.3-123-123-17,192.168.10.14,123,192.168.10.3,123,17,03/07/2017 09:03:23.060,64008955,4,4,192,192,5.999160586,0.124982512,BENIGN
192.168.10.3-192.168.10.1-62339-53-17,192.168.10.3,62339,192.168.10.1,53,17,03/07/2017 09:03:30.072,246949,1,1,41,97,558.8198373,8.098838222,BENIGN
192.168.10.9-52.11.31.31-1087-443-6,192.168.10.9,1087,52.11.31.31,443,6,03/07/2017 09:03:35.061,110494983,20,21,8825,3344,110.1316971,0.371057571,BENIGN
192.168.10.9-52.11.31.31-1086-443-6,192.168.10.9,1086,52.11.31.31,443,6,03/07/2017 09:03:35.062,110494940,20,21,8916,3344,110.9553071,0.371057715,BENIGN
192.168.10.9-52.11.31.31-1085-443-6,192.168.10.9,1085,52.11.31.31,443,6,03/07/2017 09:03:35.063,110494200,21,23,13638,3500,155.1031638,0.398210947,BENIGN
192.168.10.9-72.21.91.29-1090-80-6,192.168.10.9,1090,72.21.91.29,80,6,03/07/2017 09:03:35.064,110947998,22,20,1316,4776,54.90860682,0.378555727,BENIGN
192.168.10.9-72.21.91.29-1092-80-6,192.168.10.9,1092,72.21.91.29,80,6,03/07/2017 09:03:35.065,110947727,19,18,881,3184,36.63887589,0.333490383,BENIGN
192.168.10.9-72.21.91.29-1093-80-6,192.168.10.9,1093,72.21.91.29,80,6,03/07/2017 09:03:35.066,110947575,20,19,1316,3980,47.73425647,0.351517372,BENIGN
192.168.10.3-192.168.10.1-61235-53-17,192.168.10.3,61235,192.168.10.1,53,17,03/07/2017 09:03:37.078,47004,1,1,45,225,5744.191984,42.54957025,BENIGN
192.168.10.3-192.168.10.1-61768-53-17,192.168.10.3,61768,192.168.10.1,53,17,03/07/2017 09:03:38.081,49278,1,1,52,80,2678.680141,40.58606275,BENIGN
192.168.10.51-224.0.0.251-5353-5353-17,192.168.10.51,5353,224.0.0.251,5353,17,03/07/2017 09:03:41.069,17,12,0,468,0,27529411.76,705882.3529,BENIGN
192.168.10.14-184.25.102.48-49501-80-6,192.168.10.14,49501,184.25.102.48,80,6,03/07/2017 09:04:02.084,118849632,17,15,583,768,11.36730486,0.269247784,BENIGN
192.168.10.3-192.168.10.1-60835-53-17,192.168.10.3,60835,192.168.10.1,53,17,03/07/2017 09:04:02.090,69858,1,1,56,167,3192.189871,28.62950557,BENIGN
192.168.10.14-72.21.91.29-49505-80-6,192.168.10.14,49505,72.21.91.29,80,6,03/07/2017 09:04:06.086,116708363,23,19,2584,4776,63.06317569,0.359871383,BENIGN
192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,3268,6,03/07/2017 09:04:07.087,111768976,68,42,12248,6348,166.3789064,0.984172925,BENIGN
192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,389,6,03/07/2017 09:04:07.088,111768907,52,26,10080,10630,185.293035,0.697868505,BENIGN
192.168.10.17-224.0.0.251-5353-5353-17,192.168.10.17,5353,224.0.0.251,5353,17,03/07/2017 09:04:09.089,15,12,0,540,0,36000000.0,800000.0,BENIGN
192.168.10.14-172.217.11.46-49521-443-6,192.168.10.14,49521,172.217.11.46,443,6,03/07/2017 09:04:11.085,62368423,653,1843,54971,3136802,51176.10558,40.02025191,BENIGN
192.168.10.17-198.206.133.14-123-123-17,192.168.10.17,123,198.206.133.14,123,17,03/07/2017 09:04:11.093,66037675,2,2,96,96,2.90743125,0.060571484,BENIGN
192.168.10.17-108.59.2.24-123-123-17,192.168.10.17,123,108.59.2.24,123,17,03/07/2017 09:04:11.094,68028393,2,2,96,96,2.822350956,0.058798978,BENIGN
192.168.10.17-192.168.10.3-123-123-17,192.168.10.17,123,192.168.10.3,123,17,03/07/2017 09:04:11.096,66000027,4,4,192,192,5.818179438,0.121212072,BENIGN
192.168.10.17-129.128.12.20-123-123-17,192.168.10.17,123,129.128.12.20,123,17,03/07/2017 09:04:11.099,68090338,2,2,96,96,2.81978333,0.058745486,BENIGN
192.168.10.17-206.108.0.133-123-123-17,192.168.10.17,123,206.108.0.133,123,17,03/07/2017 09:04:12.098,69022180,2,2,96,96,2.781714516,0.057952386,BENIGN
192.168.10.17-91.189.89.198-123-123-17,192.168.10.17,123,91.189.89.198,123,17,03/07/2017 09:04:15.095,64094152,2,2,96,96,2.995593108,0.06240819,BENIGN
192.168.10.3-192.168.10.1-61074-53-17,192.168.10.3,61074,192.168.10.1,53,17,03/07/2017 09:05:51.107,1786132,2,2,100,299,223.3877451,2.239476142,BENIGN
192.168.10.3-192.168.10.1-60472-53-17,192.168.10.3,60472,192.168.10.1,53,17,03/07/2017 12:30:47.113,532,1,1,96,174,507518.797,3759.398496,BENIGN
192.168.10.3-192.168.10.1-61033-53-17,192.168.10.3,61033,192.168.10.1,53,17,03/07/2017 12:30:48.119,160775,1,1,45,112,976.5199813,12.43974499,BENIGN
192.168.10.3-192.168.10.1-61269-53-17,192.168.10.3,61269,192.168.10.1,53,17,03/07/2017 12:31:14.117,121033,1,1,47,140,1545.033173,16.52441896,BENIGN
192.168.10.3-192.168.10.1-61905-53-17,192.168.10.3,61905,192.168.10.1,53,17,03/07/2017 12:31:16.104,77425,1,1,57,140,2544.397804,25.83144979,BENIGN
192.168.10.3-192.168.10.1-60251-53-17,192.168.10.3,60251,192.168.10.1,53,17,03/07/2017 12:31:17.118,59655,1,1,58,74,2212.723158,33.52610846,BENIGN
192.168.10.3-192.168.10.1-60913-53-17,192.168.10.3,60913,192.168.10.1,53,17,03/07/2017 12:37:41.105,94680,1,1,41,319,3802.281369,21.12378538,BENIGN
192.168.10.3-192.168.10.1-60117-53-17,192.168.10.3,60117,192.168.10.1,53,17,03/07/2017 12:39:47.106,30385,1,1,88,166,8359.387856,65.82195162,BENIGN
192.168.10.3-192.168.10.1-61151-53-17,192.168.10.3,61151,192.168.10.1,53,17,03/07/2017 13:40:50.103,30552,1,1,39,103,4647.813564,65.46216287,BENIGN
192.168.10.3-192.168.10.1-62340-53-17,192.168.10.3,62340,192.168.10.1,53,17,03/07/2017 13:41:25.109,51018,1,1,46,150,3841.781332,39.20185033,BENIGN
192.168.10.19-144.217.148.73-123-123-17,192.168.10.19,123,144.217.148.73,123,17,03/07/2017 13:41:51.114,66015366,2,2,96,96,2.908413777,0.060591954,BENIGN
192.168.10.19-66.70.172.17-123-123-17,192.168.10.19,123,66.70.172.17,123,17,03/07/2017 13:41:51.115,68015467,2,2,96,96,2.822887329,0.058810153,BENIGN
192.168.10.19-207.210.46.249-123-123-17,192.168.10.19,123,207.210.46.249,123,17,03/07/2017 13:41:55.116,66025450,2,2,96,96,2.907969578,0.0605827,BENIGN
192.168.10.15-104.16.162.179-50320-443-6,192.168.10.15,50320,104.16.162.179,443,6,03/07/2017 13:41:58.100,116973871,343,539,3642,840580,7217.184426,7.54014544,BENIGN
192.168.10.15-104.16.162.179-50323-443-6,192.168.10.15,50323,104.16.162.179,443,6,03/07/2017 13:41:58.101,117114217,606,1049,4942,1622179,13893.45411,14.13150378,BENIGN
192.168.10.15-172.217.10.110-50319-80-6,192.168.10.15,50319,172.217.10.110,80,6,03/07/2017 13:41:58.102,112424924,23,19,3047,5222,73.55130611,0.373582641,BENIGN
192.168.10.15-172.217.6.195-50338-443-6,192.168.10.15,50338,172.217.6.195,443,6,03/07/2017 13:41:59.108,64016896,49,77,1449,86460,1373.215596,1.968230387,BENIGN
192.168.10.15-157.240.18.19-50331-443-6,192.168.10.15,50331,157.240.18.19,443,6,03/07/2017 13:41:59.110,65421028,22,28,868,25747,406.82638,0.764280256,BENIGN
192.168.10.15-172.217.12.174-50332-443-6,192.168.10.15,50332,172.217.12.174,443,6,03/07/2017 13:41:59.111,65404597,14,16,1051,5075,93.66314114,0.458683355,BENIGN
192.168.10.15-31.13.77.36-50352-443-6,192.168.10.15,50352,31.13.77.36,443,6,03/07/2017 13:42:02.112,62197460,19,18,2671,5874,137.3850315,0.594879598,BENIGN
192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,3268,6,03/07/2017 14:59:50.000,112740690,32,16,6448,1152,67.41133126,0.425755776,BENIGN
192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,389,6,03/07/2017 14:59:50.001,112740560,32,16,6448,5056,102.0395854,0.425756267,BENIGN
172.16.0.1-192.168.10.50-52032-22-6,172.16.0.1,52032,192.168.10.50,22,6,04/07/2017 09:07:01.027,4755497,14,15,1304,2153,726.9482033,6.098205929,SSH-Patator
172.16.0.1-192.168.10.50-52034-22-6,172.16.0.1,52034,192.168.10.50,22,6,04/07/2017 09:07:01.028,4742052,14,15,1304,2153,729.0092981,6.115495992,SSH-Patator
172.16.0.1-192.168.10.50-52040-22-6,172.16.0.1,52040,192.168.10.50,22,6,04/07/2017 09:07:05.029,1688206,10,10,1128,2009,1858.185553,11.84689546,SSH-Patator
172.16.0.1-192.168.10.50-52044-22-6,172.16.0.1,52044,192.168.10.50,22,6,04/07/2017 09:07:06.030,1884425,13,11,1128,2009,1664.698781,12.73598047,SSH-Patator
172.16.0.1-192.168.10.50-52042-22-6,172.16.0.1,52042,192.168.10.50,22,6,04/07/2017 09:07:06.031,1937542,13,11,1128,2009,1619.061677,12.38682826,SSH-Patator
172.16.0.1-192.168.10.50-52046-22-6,172.16.0.1,52046,192.168.10.50,22,6,04/07/2017 09:07:06.032,1904571,13,11,1128,2009,1647.09008,12.60126296,SSH-Patator
172.16.0.1-192.168.10.50-52050-22-6,172.16.0.1,52050,192.168.10.50,22,6,04/07/2017 09:07:06.033,1888077,10,11,1128,2009,1661.478849,11.12242774,SSH-Patator
172.16.0.1-192.168.10.50-52048-22-6,172.16.0.1,52048,192.168.10.50,22,6,04/07/2017 09:07:06.034,1922051,13,11,1128,2009,1632.110698,12.48666138,SSH-Patator
172.16.0.1-192.168.10.50-52056-22-6,172.16.0.1,52056,192.168.10.50,22,6,04/07/2017 09:07:48.035,2138428,20,18,2296,3069,2508.852297,17.77006287,SSH-Patator
172.16.0.1-192.168.10.50-52068-22-6,172.16.0.1,52068,192.168.10.50,22,6,04/07/2017 09:08:25.042,3187,3,3,24,0,7530.593034,1882.648259,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52062-22-6,172.16.0.1,52062,192.168.10.50,22,6,04/07/2017 09:08:25.055,4170,3,3,24,0,5755.395683,1438.848921,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52082-22-6,172.16.0.1,52082,192.168.10.50,22,6,04/07/2017 09:08:26.043,24912,4,3,24,0,963.3911368,280.9890816,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52084-22-6,172.16.0.1,52084,192.168.10.50,22,6,04/07/2017 09:08:26.045,1886,5,5,24,0,12725.34464,5302.226935,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52106-22-6,172.16.0.1,52106,192.168.10.50,22,6,04/07/2017 09:08:39.053,2222,5,5,24,0,10801.08011,4500.450045,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52110-22-6,172.16.0.1,52110,192.168.10.50,22,6,04/07/2017 09:08:40.056,1963,5,5,24,0,12226.18441,5094.243505,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52118-22-6,172.16.0.1,52118,192.168.10.50,22,6,04/07/2017 09:08:51.047,1764,5,5,24,0,13605.44218,5668.93424,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52132-22-6,172.16.0.1,52132,192.168.10.50,22,6,04/07/2017 09:08:53.051,1982,4,4,24,0,12108.98083,4036.326942,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52032-22-6,172.16.0.1,52032,192.168.10.50,22,6,04/07/2017 09:09:02.044,39959,1,1,0,0,0.0,50.05130259,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52034-22-6,172.16.0.1,52034,192.168.10.50,22,6,04/07/2017 09:09:02.050,40247,1,1,0,0,0.0,49.69314483,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52158-22-6,172.16.0.1,52158,192.168.10.50,22,6,04/07/2017 09:09:05.054,1780,4,4,24,0,13483.14607,4494.382022,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52044-22-6,172.16.0.1,52044,192.168.10.50,22,6,04/07/2017 09:09:06.046,37494,1,1,0,0,0.0,53.34186803,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52046-22-6,172.16.0.1,52046,192.168.10.50,22,6,04/07/2017 09:09:06.048,39853,1,1,0,0,0.0,50.18442777,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-52050-22-6,172.16.0.1,52050,192.168.10.50,22,6,04/07/2017 09:09:06.052,37584,1,1,0,0,0.0,53.21413367,SSH-Patator - Attempted
172.16.0.1-192.168.10.50-59104-21-6,172.16.0.1,59104,192.168.10.50,21,6,04/07/2017 10:12:28.010,8670400,11,17,116,188,35.06181952,3.229378114,FTP-Patator
172.16.0.1-192.168.10.50-46728-22-6,172.16.0.1,46728,192.168.10.50,22,6,04/07/2017 10:13:21.038,12003171,26,37,2008,2841,403.9765825,5.248613054,SSH-Patator
172.16.0.1-192.168.10.50-52108-21-6,172.16.0.1,52108,192.168.10.50,21,6,04/07/2017 10:17:52.015,4475174,9,8,31,96,28.37878482,3.798734977,FTP-Patator - Attempted
172.16.0.1-192.168.10.50-59966-21-6,172.16.0.1,59966,192.168.10.50,21,6,04/07/2017 10:18:54.057,9255327,11,17,119,188,33.17008681,3.02528479,FTP-Patator
172.16.0.1-192.168.10.50-52146-21-6,172.16.0.1,52146,192.168.10.50,21,6,04/07/2017 10:19:30.000,4008190,6,6,30,76,26.44585212,2.993870051,FTP-Patator
172.16.0.1-192.168.10.50-52148-21-6,172.16.0.1,52148,192.168.10.50,21,6,04/07/2017 10:19:30.001,4018946,6,6,30,76,26.37507446,2.985857486,FTP-Patator
172.16.0.1-192.168.10.50-52134-21-6,172.16.0.1,52134,192.168.10.50,21,6,04/07/2017 10:19:30.002,4067119,6,6,34,76,27.046172,2.95049149,FTP-Patator
